Call_ID,Date,Time,Agent,Call_Type,Wait_Time_Seconds,Call_Duration_Seconds,Resolution,Satisfaction_Score
CALL-1116,2024-06-09,15:19,Chris Anderson,Billing Inquiry,37,201,Callback Scheduled,1
CALL-1117,2024-04-16,10:08,Jennifer White,Complaint,29,379,Resolved,4
CALL-1118,2024-05-03,19:18,David Brown,Complaint,17,307,Callback Scheduled,1
CALL-1119,2024-06-22,16:25,Jennifer White,Technical Support,25,399,Resolved,5
CALL-1120,2024-06-21,16:16,Robert Garcia,Technical Support,12,327,Resolved,5
CALL-1121,2024-06-07,17:35,David Brown,Complaint,26,332,Callback Scheduled,3
CALL-1122,2024-03-18,15:07,Emily Davis,Billing Inquiry,109,221,Resolved,3
CALL-1123,2024-05-17,10:29,David Brown,Account Changes,42,66,Resolved,5
CALL-1124,2024-02-09,17:41,Mike Chen,Complaint,5,158,Resolved,5
CALL-1125,2024-02-25,13:15,David Brown,Billing Inquiry,15,117,Unresolved,1
CALL-1126,2024-04-11,11:07,Chris Anderson,Billing Inquiry,51,254,Unresolved,1
CALL-1127,2024-03-26,11:08,Robert Garcia,Billing Inquiry,57,119,Resolved,5
CALL-1128,2024-02-29,11:09,Robert Garcia,Billing Inquiry,52,156,Resolved,4
CALL-1129,2024-02-14,09:55,Sarah Johnson,Billing Inquiry,5,253,Resolved,3
CALL-1130,2024-03-08,09:47,Amanda Taylor,Technical Support,24,276,Escalated,3
CALL-1131,2024-01-28,13:14,Robert Garcia,Billing Inquiry,33,73,Resolved,5
CALL-1132,2024-01-08,09:30,Amanda Taylor,Technical Support,49,544,Resolved,5
CALL-1133,2024-03-23,15:04,Emily Davis,Technical Support,28,302,Resolved,5
CALL-1134,2024-05-15,11:32,Robert Garcia,Technical Support,47,360,Resolved,5
CALL-1135,2024-05-21,16:13,Amanda Taylor,Technical Support,27,533,Resolved,5
CALL-1136,2024-01-25,11:20,Lisa Martinez,Technical Support,71,653,Resolved,5
CALL-1137,2024-01-24,13:47,David Brown,Complaint,5,258,Escalated,3
CALL-1138,2024-02-01,12:55,Amanda Taylor,Complaint,15,67,Escalated,3
CALL-1139,2024-05-27,14:09,Chris Anderson,Billing Inquiry,75,245,Resolved,5
CALL-1140,2024-05-26,10:27,Jennifer White,General Inquiry,56,74,Resolved,3
CALL-1141,2024-06-17,17:17,Sarah Johnson,Billing Inquiry,19,135,Resolved,3
CALL-1142,2024-02-06,14:25,Mike Chen,Billing Inquiry,41,169,Escalated,2
CALL-1143,2024-04-17,13:10,David Brown,Technical Support,5,687,Resolved,5
CALL-1144,2024-02-09,10:39,Sarah Johnson,Account Changes,40,345,Resolved,5
CALL-1145,2024-03-10,10:32,Mike Chen,Technical Support,68,541,Resolved,4
CALL-1146,2024-03-19,09:25,Robert Garcia,Billing Inquiry,38,304,Escalated,3
CALL-1147,2024-03-15,11:00,Chris Anderson,New Service,53,454,Escalated,3
CALL-1148,2024-06-20,17:04,Amanda Taylor,Complaint,28,304,Unresolved,3
CALL-1149,2024-05-27,13:25,Amanda Taylor,Technical Support,5,604,Resolved,5
CALL-1150,2024-04-27,17:58,David Brown,Billing Inquiry,33,146,Resolved,5
CALL-1151,2024-04-11,17:47,David Brown,Billing Inquiry,26,158,Resolved,5
CALL-1152,2024-02-19,18:22,David Brown,New Service,40,179,Resolved,4
CALL-1153,2024-02-20,10:09,Mike Chen,Billing Inquiry,48,117,Escalated,3
CALL-1154,2024-04-24,16:56,Robert Garcia,Account Changes,42,234,Unresolved,1
CALL-1155,2024-04-22,09:28,Lisa Martinez,New Service,9,305,Resolved,5
CALL-1156,2024-01-10,09:53,Lisa Martinez,Billing Inquiry,50,100,Resolved,5
CALL-1157,2024-04-28,15:50,Sarah Johnson,Technical Support,55,249,Resolved,5
CALL-1158,2024-02-08,19:28,Mike Chen,Complaint,54,81,Resolved,5
CALL-1159,2024-01-11,11:28,Chris Anderson,Technical Support,30,343,Callback Scheduled,1
CALL-1160,2024-03-27,16:03,David Brown,Billing Inquiry,49,225,Resolved,5
CALL-1161,2024-06-17,19:38,Emily Davis,Technical Support,15,385,Resolved,5
CALL-1162,2024-06-27,15:08,Robert Garcia,New Service,67,430,Resolved,4
CALL-1163,2024-02-02,15:53,Jennifer White,Billing Inquiry,33,123,Resolved,4
CALL-1164,2024-02-24,11:49,Chris Anderson,Billing Inquiry,56,179,Resolved,5
CALL-1165,2024-05-09,16:53,Jennifer White,Billing Inquiry,7,258,Resolved,4
CALL-1166,2024-02-11,10:44,Robert Garcia,Complaint,55,383,Escalated,3
CALL-1167,2024-03-01,19:39,Lisa Martinez,New Service,28,282,Resolved,5
CALL-1168,2024-04-30,18:12,David Brown,Account Changes,5,206,Escalated,3
CALL-1169,2024-05-08,14:10,James Wilson,Complaint,54,352,Escalated,4
CALL-1170,2024-05-21,18:45,Jennifer White,Complaint,17,449,Resolved,5
CALL-1171,2024-02-07,17:05,James Wilson,Complaint,59,162,Escalated,3
CALL-1172,2024-04-05,11:05,David Brown,Billing Inquiry,41,202,Escalated,3
CALL-1173,2024-02-07,10:18,Chris Anderson,Account Changes,65,326,Resolved,2
CALL-1174,2024-01-21,08:13,Emily Davis,Technical Support,21,267,Resolved,4
CALL-1175,2024-03-18,09:15,Amanda Taylor,Account Changes,19,221,Escalated,3
CALL-1176,2024-05-17,08:32,Robert Garcia,Billing Inquiry,38,224,Resolved,4
CALL-1177,2024-04-16,10:42,Mike Chen,Technical Support,13,659,Resolved,5
CALL-1178,2024-05-09,14:24,Chris Anderson,Billing Inquiry,30,214,Escalated,3
CALL-1179,2024-01-18,11:46,Mike Chen,New Service,43,263,Resolved,5
CALL-1180,2024-06-13,10:49,Chris Anderson,General Inquiry,32,123,Resolved,5
CALL-1181,2024-04-27,08:12,Sarah Johnson,New Service,38,298,Resolved,4
CALL-1182,2024-05-19,13:02,James Wilson,Technical Support,29,389,Resolved,4
CALL-1183,2024-04-04,13:25,Chris Anderson,Complaint,5,458,Escalated,3
CALL-1184,2024-05-12,11:05,Amanda Taylor,Billing Inquiry,15,119,Resolved,4
CALL-1185,2024-01-21,11:18,Lisa Martinez,Technical Support,42,345,Resolved,5
CALL-1186,2024-03-31,15:27,Lisa Martinez,Account Changes,46,216,Resolved,5
CALL-1187,2024-05-11,16:43,Emily Davis,General Inquiry,42,158,Escalated,2
CALL-1188,2024-01-18,11:41,David Brown,Technical Support,49,409,Resolved,5
CALL-1189,2024-04-04,12:48,Mike Chen,Account Changes,5,226,Resolved,4
CALL-1190,2024-01-30,08:11,Chris Anderson,Technical Support,33,387,Escalated,3
CALL-1191,2024-02-24,19:18,Chris Anderson,Billing Inquiry,30,195,Resolved,5
CALL-1192,2024-01-23,17:54,David Brown,Account Changes,18,151,Resolved,4
CALL-1193,2024-02-10,16:59,Emily Davis,New Service,14,356,Resolved,4
CALL-1194,2024-05-06,08:35,Robert Garcia,Technical Support,33,269,Resolved,3
CALL-1195,2024-03-20,12:45,Chris Anderson,Technical Support,29,187,Resolved,5
CALL-1196,2024-06-13,09:29,Jennifer White,Technical Support,50,267,Resolved,4
CALL-1197,2024-02-03,13:58,Sarah Johnson,Complaint,8,291,Resolved,5
CALL-1198,2024-02-27,11:33,Lisa Martinez,Complaint,44,427,Escalated,2
CALL-1199,2024-03-18,15:05,Jennifer White,Account Changes,22,188,Resolved,5
CALL-1200,2024-06-03,11:59,Robert Garcia,Billing Inquiry,50,163,Callback Scheduled,2
CALL-1201,2024-03-08,15:49,Robert Garcia,Technical Support,29,306,Resolved,4
CALL-1202,2024-03-18,13:51,Amanda Taylor,Technical Support,31,439,Resolved,5
CALL-1203,2024-02-22,11:09,David Brown,Complaint,19,542,Resolved,4
CALL-1204,2024-04-04,14:06,David Brown,Billing Inquiry,60,221,Resolved,3
CALL-1205,2024-04-08,17:26,James Wilson,General Inquiry,54,82,Callback Scheduled,2
CALL-1206,2024-02-18,16:31,Jennifer White,Technical Support,42,318,Resolved,4
CALL-1207,2024-04-27,19:13,Robert Garcia,Technical Support,47,465,Callback Scheduled,2
CALL-1208,2024-04-30,11:00,Mike Chen,Technical Support,68,283,Escalated,3
CALL-1209,2024-04-12,09:35,James Wilson,Technical Support,20,540,Resolved,5
CALL-1210,2024-06-08,16:07,Emily Davis,General Inquiry,5,159,Resolved,5
CALL-1211,2024-02-06,10:32,Amanda Taylor,Technical Support,55,439,Resolved,5
CALL-1212,2024-04-26,10:57,Jennifer White,Billing Inquiry,60,160,Resolved,4
CALL-1213,2024-03-17,15:32,Jennifer White,Technical Support,40,317,Escalated,3
CALL-1214,2024-06-21,09:26,Robert Garcia,Technical Support,57,268,Resolved,5
CALL-1215,2024-03-08,19:50,Robert Garcia,Account Changes,20,146,Resolved,5
CALL-1216,2024-06-07,16:24,Emily Davis,Complaint,26,417,Callback Scheduled,1
CALL-1217,2024-04-22,11:09,Amanda Taylor,Account Changes,15,306,Callback Scheduled,3
CALL-1218,2024-01-16,16:33,James Wilson,Account Changes,47,239,Resolved,5
CALL-1219,2024-04-27,18:21,Jennifer White,Technical Support,29,220,Resolved,5
CALL-1220,2024-06-05,13:15,Lisa Martinez,Account Changes,33,431,Resolved,4
CALL-1221,2024-02-23,16:31,David Brown,Technical Support,5,310,Escalated,2
CALL-1222,2024-05-26,16:24,Amanda Taylor,Complaint,59,254,Resolved,4
CALL-1223,2024-01-21,11:28,Lisa Martinez,New Service,53,557,Resolved,5
CALL-1224,2024-03-10,10:39,Robert Garcia,Billing Inquiry,86,216,Resolved,3
CALL-1225,2024-01-26,12:45,Chris Anderson,Billing Inquiry,25,174,Resolved,5
CALL-1226,2024-04-14,15:56,Chris Anderson,Technical Support,61,728,Resolved,4
CALL-1227,2024-01-23,15:14,Jennifer White,New Service,48,335,Callback Scheduled,2
CALL-1228,2024-02-15,18:02,Amanda Taylor,New Service,37,525,Callback Scheduled,1
CALL-1229,2024-01-10,08:36,Robert Garcia,Billing Inquiry,41,175,Unresolved,2
CALL-1230,2024-05-06,18:08,Jennifer White,Technical Support,28,477,Resolved,5
CALL-1231,2024-03-06,16:00,David Brown,New Service,5,284,Resolved,5
CALL-1232,2024-04-13,17:32,David Brown,Billing Inquiry,18,149,Resolved,4
CALL-1233,2024-03-04,08:24,James Wilson,Technical Support,23,532,Resolved,5
CALL-1234,2024-03-07,15:44,James Wilson,Billing Inquiry,57,211,Resolved,5
CALL-1235,2024-06-29,16:44,Mike Chen,Account Changes,42,214,Resolved,5
CALL-1236,2024-05-02,10:47,Robert Garcia,Technical Support,31,154,Escalated,4
CALL-1237,2024-02-25,16:43,Robert Garcia,Complaint,43,348,Callback Scheduled,1
CALL-1238,2024-05-24,09:53,Jennifer White,Complaint,32,406,Resolved,5
CALL-1239,2024-04-23,09:13,Robert Garcia,Technical Support,42,338,Resolved,4
CALL-1240,2024-04-16,13:03,Jennifer White,Technical Support,36,230,Resolved,5
CALL-1241,2024-02-25,15:02,Amanda Taylor,Technical Support,104,577,Callback Scheduled,1
CALL-1242,2024-04-30,08:26,Emily Davis,New Service,30,62,Resolved,5
CALL-1243,2024-04-07,13:58,Amanda Taylor,Technical Support,12,250,Resolved,5
CALL-1244,2024-03-30,09:34,Amanda Taylor,Technical Support,23,331,Resolved,3
CALL-1245,2024-03-17,13:46,Jennifer White,Technical Support,14,482,Resolved,4
CALL-1246,2024-02-18,18:46,Mike Chen,Billing Inquiry,10,116,Callback Scheduled,3
CALL-1247,2024-03-02,10:06,Robert Garcia,Billing Inquiry,19,131,Resolved,5
CALL-1248,2024-04-12,13:34,James Wilson,New Service,26,301,Unresolved,1
CALL-1249,2024-05-27,11:38,David Brown,Billing Inquiry,86,69,Resolved,4
CALL-1250,2024-03-11,09:37,Emily Davis,Account Changes,5,277,Unresolved,3
CALL-1251,2024-06-20,12:33,David Brown,Account Changes,10,273,Resolved,5
CALL-1252,2024-03-02,17:19,Emily Davis,Complaint,47,240,Unresolved,2
CALL-1253,2024-02-04,12:16,James Wilson,Technical Support,44,485,Resolved,5
CALL-1254,2024-02-18,09:24,Robert Garcia,Account Changes,34,206,Escalated,3
CALL-1255,2024-05-23,10:13,David Brown,Technical Support,56,372,Resolved,5
CALL-1256,2024-05-02,18:44,Robert Garcia,New Service,13,408,Resolved,4
CALL-1257,2024-04-29,14:22,Lisa Martinez,Technical Support,21,408,Resolved,5
CALL-1258,2024-04-30,16:20,James Wilson,Technical Support,5,503,Resolved,4
CALL-1259,2024-03-07,14:37,Robert Garcia,New Service,41,428,Resolved,5
CALL-1260,2024-03-03,14:41,David Brown,Technical Support,67,124,Resolved,4
CALL-1261,2024-02-13,16:22,Emily Davis,Billing Inquiry,12,170,Callback Scheduled,3
CALL-1262,2024-01-16,14:53,Mike Chen,General Inquiry,28,66,Resolved,5
CALL-1263,2024-02-29,09:09,Sarah Johnson,Billing Inquiry,18,185,Resolved,5
CALL-1264,2024-05-03,15:01,Sarah Johnson,Technical Support,41,432,Escalated,3
CALL-1265,2024-03-14,08:52,Amanda Taylor,Complaint,33,277,Resolved,4
CALL-1266,2024-02-19,15:16,David Brown,Technical Support,29,493,Resolved,5
CALL-1267,2024-06-27,10:43,Mike Chen,Account Changes,66,145,Resolved,4
CALL-1268,2024-05-21,13:40,Sarah Johnson,New Service,58,463,Resolved,4
CALL-1269,2024-01-25,18:58,Sarah Johnson,Billing Inquiry,49,131,Resolved,4
CALL-1270,2024-01-20,16:17,Jennifer White,Account Changes,69,273,Resolved,5
CALL-1271,2024-05-30,10:52,Amanda Taylor,General Inquiry,37,164,Resolved,5
CALL-1272,2024-06-22,18:21,Amanda Taylor,New Service,63,608,Escalated,3
CALL-1273,2024-03-29,09:27,James Wilson,Complaint,6,429,Unresolved,1
CALL-1274,2024-03-24,08:17,Chris Anderson,Technical Support,5,656,Resolved,5
CALL-1275,2024-06-18,12:49,Robert Garcia,Technical Support,25,469,Resolved,4
CALL-1276,2024-06-11,10:24,David Brown,Technical Support,85,584,Resolved,5
CALL-1277,2024-01-27,10:11,Amanda Taylor,Technical Support,25,376,Resolved,4
CALL-1278,2024-01-24,15:50,David Brown,Complaint,65,307,Callback Scheduled,2
CALL-1279,2024-05-23,18:15,Robert Garcia,Technical Support,20,349,Resolved,4
CALL-1280,2024-02-07,09:27,Lisa Martinez,Technical Support,17,424,Resolved,4
CALL-1281,2024-06-09,14:39,James Wilson,Technical Support,46,431,Resolved,5
CALL-1282,2024-04-07,17:21,Chris Anderson,Technical Support,40,191,Unresolved,1
CALL-1283,2024-03-23,15:44,James Wilson,Technical Support,53,534,Resolved,5
CALL-1284,2024-06-11,14:36,James Wilson,Technical Support,38,637,Resolved,5
CALL-1285,2024-02-21,15:34,Emily Davis,Account Changes,5,184,Resolved,5
CALL-1286,2024-04-22,16:53,Mike Chen,Complaint,30,211,Escalated,3
CALL-1287,2024-03-02,11:09,Amanda Taylor,New Service,99,508,Resolved,4
CALL-1288,2024-05-09,18:55,Amanda Taylor,Technical Support,29,304,Callback Scheduled,2
CALL-1289,2024-06-12,18:06,James Wilson,Account Changes,7,322,Resolved,5
CALL-1290,2024-06-22,15:48,David Brown,General Inquiry,42,122,Resolved,5
CALL-1291,2024-05-12,14:44,Robert Garcia,Billing Inquiry,29,222,Resolved,5
CALL-1292,2024-02-08,11:01,Chris Anderson,Billing Inquiry,5,249,Resolved,5
CALL-1293,2024-02-06,11:21,Chris Anderson,New Service,26,346,Resolved,5
CALL-1294,2024-04-25,11:19,Sarah Johnson,Complaint,74,415,Escalated,3
CALL-1295,2024-02-12,18:47,James Wilson,Technical Support,8,383,Resolved,5
CALL-1296,2024-04-13,15:11,Amanda Taylor,Technical Support,41,159,Resolved,5
CALL-1297,2024-01-02,16:13,Lisa Martinez,New Service,27,323,Resolved,5
CALL-1298,2024-02-17,12:12,Chris Anderson,Billing Inquiry,13,124,Unresolved,1
CALL-1299,2024-04-09,15:37,Mike Chen,Technical Support,60,275,Escalated,3
CALL-1300,2024-03-17,18:37,Mike Chen,Account Changes,19,289,Resolved,4
CALL-1301,2024-02-06,14:26,Robert Garcia,Billing Inquiry,35,203,Resolved,5
CALL-1302,2024-06-14,18:11,Jennifer White,Billing Inquiry,21,213,Escalated,3
CALL-1303,2024-04-01,18:31,Emily Davis,Billing Inquiry,5,226,Resolved,5
CALL-1304,2024-05-05,12:53,Chris Anderson,Technical Support,29,435,Escalated,2
CALL-1305,2024-03-11,10:18,Emily Davis,New Service,13,285,Resolved,5
CALL-1306,2024-05-26,09:49,Jennifer White,Complaint,5,424,Resolved,5
CALL-1307,2024-05-19,10:27,Mike Chen,New Service,36,293,Callback Scheduled,1
CALL-1308,2024-03-08,11:52,Mike Chen,Technical Support,79,411,Resolved,5
CALL-1309,2024-05-30,16:55,Robert Garcia,Account Changes,30,274,Resolved,4
CALL-1310,2024-01-16,14:34,Lisa Martinez,Account Changes,72,414,Resolved,4
CALL-1311,2024-05-11,19:43,Mike Chen,Billing Inquiry,25,124,Resolved,4
CALL-1312,2024-06-16,09:55,Emily Davis,Billing Inquiry,15,81,Escalated,3
CALL-1313,2024-05-05,10:40,Lisa Martinez,Account Changes,39,260,Escalated,3
CALL-1314,2024-04-13,14:17,David Brown,Technical Support,18,432,Callback Scheduled,3
CALL-1315,2024-01-24,16:29,David Brown,Complaint,30,213,Unresolved,3
CALL-1316,2024-05-06,11:53,Lisa Martinez,Technical Support,22,343,Resolved,4
CALL-1317,2024-06-23,16:02,Mike Chen,Account Changes,26,228,Callback Scheduled,1
CALL-1318,2024-04-26,08:27,James Wilson,General Inquiry,59,79,Resolved,5
CALL-1319,2024-03-11,09:23,Lisa Martinez,Billing Inquiry,10,112,Resolved,5
